"Date","Assay","Categorical_Variable","Dose_Variable","N.Observations","Mean.Size","Median.Size","StDev","CV1","Size.95CI"
2018-10-01,"AP2142","Bentazone",0,8,3.8375,4.1,0.62777953363991,0.163590757951768,0.43502902202037
2018-10-01,"AP2142","Bentazone",10,4,3.725,3.75,0.170782512765993,0.0458476544338237,0.167366862510673
2018-10-01,"AP2142","Bentazone",20,4,3.425,3.35,0.43493294502333,0.126987721174695,0.426234286122863
2018-10-01,"AP2142","Bentazone",40,4,1.2,1.25,0.244948974278318,0.204124145231931,0.240049994792751
2018-10-01,"AP2142","Bentazone",80,4,0.75,0.75,0.129099444873581,0.172132593164774,0.126517455976109
2018-10-01,"AP2142","Bentazone",160,4,0.625,0.65,0.0957427107756338,0.153188337241014,0.0938278565601211
2018-10-01,"AP2142","Bentazone",320,4,0.7,0.75,0.14142135623731,0.202030508910442,0.138592929112563
2018-10-01,"AP2142","Bentazone",640,4,0.675,0.65,0.0957427107756338,0.141841053000939,0.0938278565601212
2018-10-01,"AP2142","Glyphosate",0,8,3.9625,4,0.620915223106757,0.156697848102652,0.430272297504731
2018-10-01,"AP2142","Glyphosate",10,4,3.675,3.8,0.25,0.0680272108843537,0.245
2018-10-01,"AP2142","Glyphosate",20,4,3.725,3.8,0.45,0.120805369127517,0.441
2018-10-01,"AP2142","Glyphosate",40,4,3.225,3.2,0.403112887414928,0.124996244159667,0.395050629666629
2018-10-01,"AP2142","Glyphosate",80,4,1.85,1.75,0.31091263510296,0.168060883839438,0.304694382400901
2018-10-01,"AP2142","Glyphosate",160,4,1.15,1.15,0.129099444873581,0.112260386846592,0.126517455976109
2018-10-01,"AP2142","Glyphosate",320,4,0.9,0.9,0,0,0
